# 200_syn 301_syn
# num of data: 292
522 10344
522 10393
573 11708
598 11405
598 11557
598 11558
598 11563
598 11700
598 11708
599 11405
599 11557
599 11558
599 11563
599 11700
599 11708
628 11241
628 11402
628 11405
628 11557
628 11558
628 11563
629 11557
629 11558
629 11563
629 11700
629 11708
634 11402
634 11405
634 11557
634 11558
634 11563
635 11060
635 11238
635 11241
635 11402
635 11405
663 11057
663 11060
663 11238
663 11241
663 11402
669 11240
669 11403
669 11404
670 11240
670 11403
670 11404
671 11057
671 11060
671 11238
706 10843
706 10844
706 10847
706 10848
706 11057
707 10843
707 10844
707 10847
707 10848
707 11057
715 11240
715 11403
715 11404
716 11240
716 11403
716 11404
717 11240
717 11403
717 11404
718 10610
718 10611
718 10843
718 10848
752 10608
752 10845
752 10846
752 11058
752 11059
783 10607
783 10608
783 10845
783 10846
785 10608
785 10845
795 10365
795 10366
795 10607
795 10608
796 10365
796 10366
796 10607
796 10608
809 11254
809 11255
809 11389
810 10363
810 10364
811 10363
811 10364
812 10365
812 10366
812 10607
827 10834
827 10862
827 11043
827 11078
827 11224
827 11254
827 11255
827 11395
833 11389
833 11395
834 11389
834 11395
835 9732
835 10077
835 10078
835 10363
835 10364
836 10077
836 10078
836 10363
836 10364
837 10077
837 10078
837 10363
837 10364
838 11053
838 11070
838 11231
838 11247
838 11248
839 11053
839 11070
839 11231
839 11247
839 11248
859 11231
860 9730
860 9733
860 10076
861 10077
862 10077
863 11043
863 11078
863 11224
872 9381
872 9730
872 9733
872 10076
873 10603
873 10613
873 10840
873 10852
873 11053
873 11070
873 11231
874 10603
874 10613
874 10840
874 10852
874 11053
874 11070
874 11231
893 10359
893 10370
893 10371
893 10603
893 10613
893 10840
893 10852
893 11053
893 11070
894 9378
894 9381
894 9730
894 9733
894 10076
905 8987
905 9378
905 9381
906 8987
906 9378
906 9381
907 9378
907 9381
907 9730
907 9733
907 10076
908 10066
908 10085
908 10359
908 10370
908 10371
908 10603
908 10613
908 10840
908 10852
909 10066
909 10085
909 10359
909 10370
909 10371
909 10603
909 10613
909 10840
909 10852
923 10066
923 10085
923 10359
923 10370
923 10371
923 10603
923 10613
924 10066
924 10085
924 10359
924 10370
924 10371
924 10603
924 10613
925 9378
925 9381
925 9730
925 9733
926 8984
926 8987
926 9378
926 9381
937 8570
937 8571
937 8984
937 8987
937 9378
939 9725
939 9740
939 10066
939 10085
939 10359
940 9725
940 9740
940 10066
940 10085
940 10359
941 9725
941 9740
941 10066
941 10085
941 10359
942 10085
942 10359
959 9390
959 9391
959 9725
959 9740
960 9390
960 9391
960 9725
960 9740
961 9368
961 9390
961 9391
961 9725
961 9740
961 10066
961 10085
971 8998
971 9364
971 9394
971 9722
971 9743
971 10062
972 8998
972 9364
972 9394
972 9722
972 9743
972 10062
1011 9368
1011 9725
1012 6078
1012 6571
1013 9364
1023 6076
1023 6078
1023 6571
1023 6625
1024 9368
1082 8120
1082 8121
1102 11552
1107 11409
