# 300_syn 301_syn
# num of data: 325
8203 11259
8204 11536
8204 11582
8204 11683
8240 11384
8240 11424
8240 11536
8240 11582
8241 11384
8241 11424
8241 11536
8241 11582
8242 11384
8242 11424
8242 11536
8242 11582
8243 11384
8243 11424
8243 11536
8243 11582
8244 11085
8244 11217
8245 11085
8245 11217
8806 11082
8806 11085
8806 11217
8806 11220
8806 11259
8808 11384
8808 11424
8808 11536
8808 11582
8809 11424
8809 11536
8809 11582
8809 11683
8810 11582
8810 11683
8810 11725
8810 11804
8853 11536
8853 11582
8853 11683
8854 11536
8854 11582
8854 11683
8855 11424
8855 11536
8855 11582
8855 11683
8856 11384
8856 11422
8856 11423
8856 11424
8856 11536
8858 11082
8858 11085
8858 11217
8858 11220
8858 11259
9484 11085
9484 11217
9484 11220
9484 11259
9486 11424
9486 11536
9486 11582
9487 11582
9487 11683
9487 11725
9488 11683
9488 11725
9488 11804
9538 11725
9540 11424
9540 11536
9540 11538
9540 11539
9540 11540
9540 11582
9542 11217
10196 11424
10196 11538
10196 11539
10196 11540
10197 11424
10197 11538
10197 11539
10197 11540
10259 11422
10259 11423
10259 11538
10259 11539
10259 11540
13406 10815
13406 10879
13526 10815
13526 10879
14095 10879
14095 11094
14095 11095
14096 10879
14096 11094
14096 11095
14526 10815
14526 10879
14526 11024
14526 11094
14526 11095
14526 11205
14646 10879
14646 11024
14646 11094
14646 11095
14646 11205
14648 11094
14648 11095
15072 11094
15072 11095
15072 11205
15073 10879
15073 11024
15073 11094
15073 11095
15073 11205
15086 11951
15086 11974
15087 11951
15087 11974
15088 11951
15088 11974
15172 11974
15173 11881
15173 11951
15173 11974
15191 10879
15191 11024
15191 11094
15191 11095
15191 11205
15192 10879
15192 11024
15192 11094
15192 11095
15192 11205
15193 10879
15193 11024
15193 11094
15193 11095
15193 11205
15194 11094
15194 11095
15194 11205
15593 11094
15593 11095
15593 11205
15593 11274
15594 10879
15594 11024
15594 11094
15594 11095
15594 11205
15595 11024
15595 11094
15595 11095
15595 11205
15595 11274
15609 11881
15609 11951
15609 11974
15610 11974
15611 11954
15708 11881
15708 11951
15708 11974
15721 11024
15721 11094
15721 11095
15722 11274
16073 11205
16073 11274
16074 11205
16074 11274
16075 11024
16086 11854
16087 11951
16087 11974
16088 11951
16088 11974
16089 11951
16089 11974
16091 11954
16194 11974
16195 11951
16195 11974
16196 11741
16196 11742
16196 11790
16196 11854
16210 11274
16210 11370
16530 11370
16531 11370
16548 11974
16661 11370
16661 11436
16662 11436
16954 11436
16955 11522
16955 11523
17082 11436
17360 11522
17360 11523
17361 11522
17361 11523
19713 11688
19713 11689
19839 11688
19839 11689
19966 11576
19966 11688
19966 11689
20205 11543
20205 11544
20205 11576
20206 11543
20206 11544
20206 11576
20331 11419
20331 11420
20331 11421
20331 11543
20331 11544
20770 11221
20859 11081
20859 11221
20859 11258
20859 11386
20939 10865
20939 11040
20939 11081
20939 11221
20940 10865
20940 11040
20940 11081
20940 11221
20941 10865
20941 11040
20941 11081
20941 11221
21015 10831
21015 10865
21015 11040
21015 11081
21015 11221
21015 11258
21016 10865
21016 11040
21016 11081
21016 11221
21017 10865
21017 11040
21017 11081
21017 11221
21018 10865
21018 11040
21018 11081
21018 11221
21088 10622
21088 10623
21088 10831
21088 10865
21088 11040
21088 11081
21089 10831
21089 10865
21089 11040
21089 11081
21089 11221
21090 10831
21090 10865
21090 11040
21090 11081
21090 11221
21162 10865
21162 11040
21162 11081
21162 11221
21163 10831
21163 10865
21163 11040
21163 11081
21163 11221
21237 10831
21238 10382
21238 10594
21238 10622
21238 10623
21238 10831
21238 10865
21239 10831
21239 10865
21239 11040
21239 11081
21310 10865
21310 11040
21310 11081
21311 10353
21311 10382
21311 10594
21311 10622
21311 10623
21311 10831
21376 10091
21376 10353
21376 10382
21376 10594
21377 10091
21377 10353
21377 10382
21377 10594
21438 10091
21438 10353
21438 10382
